neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,cleaning_fee,guests_included,extra_people,minimum_nights,amen_score
3,1,0,2,1.0,1.0,1.0,3,9525.0,4000.0,1,1500.0,3,29
3,1,0,2,1.0,1.0,1.0,3,9525.0,4000.0,1,1500.0,3,33
51,23,0,7,1.0,3.0,4.0,3,19706.0,7554.0,4,1642.0,2,42
49,1,0,5,1.0,1.0,2.0,3,9962.0,4500.0,2,2000.0,2,36
33,14,2,5,1.0,1.0,4.0,3,7554.0,4000.0,2,3500.0,1,30
12,24,0,6,1.0,2.0,5.0,3,12042.0,5000.0,2,3000.0,2,27
18,1,0,6,1.0,3.0,3.0,3,13028.0,4000.0,1,3000.0,1,21
20,1,0,5,1.0,1.0,4.0,3,4489.0,4379.0,4,1642.0,3,29
43,1,0,3,1.0,1.0,2.0,3,6459.0,4500.0,1,1500.0,2,28
49,14,0,6,1.0,3.0,3.0,3,15984.0,6500.0,2,3500.0,2,37
43,1,0,2,1.0,1.0,2.0,3,4489.0,4500.0,1,1500.0,1,33
43,1,0,2,1.0,1.0,2.0,3,6021.0,4500.0,1,1500.0,1,30
8,14,2,4,1.0,1.0,4.0,3,5036.0,2500.0,2,1500.0,3,32
45,1,0,4,1.0,1.0,3.0,3,12042.0,3000.0,4,4000.0,3,35
49,1,0,4,1.0,1.0,4.0,3,8211.0,3284.0,3,1095.0,3,22
33,1,0,2,1.0,1.0,1.0,3,5474.0,5693.0,1,2190.0,3,16
25,14,0,4,1.0,2.0,2.0,3,9962.0,5000.0,3,2000.0,1,39
33,14,2,1,1.0,1.0,1.0,3,3284.0,2160.0,1,0.0,3,18
16,14,2,3,1.0,1.0,3.0,3,20034.0,3500.0,5,0.0,1,20
33,14,2,2,1.0,1.0,1.0,3,3941.0,2500.0,1,2300.0,1,23
4,14,0,7,1.0,2.0,5.0,3,25946.0,14000.0,3,4000.0,3,30
43,1,0,4,1.0,0.0,1.0,3,34923.0,6588.0,2,1900.0,2,22
33,1,0,2,1.0,1.0,1.0,3,6021.0,5693.0,1,2627.0,3,19
43,1,0,4,1.0,0.0,1.0,3,33719.0,6588.0,2,1900.0,2,28
33,1,0,2,1.0,1.0,1.0,3,5474.0,5693.0,1,2190.0,3,18
33,1,0,2,1.0,1.0,1.0,3,6021.0,5693.0,1,2627.0,3,16
44,14,2,1,1.0,1.0,1.0,3,5036.0,3000.0,1,2500.0,1,23
32,14,2,3,1.0,1.0,0.0,3,4051.0,1000.0,1,2500.0,1,12
33,1,0,2,1.0,1.0,2.0,3,5255.0,2160.0,2,0.0,3,26
45,1,0,5,1.0,1.0,4.0,3,9962.0,5000.0,4,2000.0,3,35
45,1,0,3,1.0,1.0,3.0,3,10948.0,3000.0,3,4000.0,3,34
33,7,2,4,1.0,1.0,4.0,3,14998.0,3000.0,2,5000.0,1,21
44,14,2,1,1.0,1.0,1.0,3,5036.0,3000.0,1,2500.0,1,23
44,14,2,3,1.0,1.0,1.0,3,6021.0,3000.0,1,2500.0,1,23
33,14,2,2,1.0,1.0,1.0,3,3284.0,3500.0,1,0.0,1,37
45,1,0,5,1.0,1.0,3.0,3,15984.0,3000.0,5,4000.0,3,34
45,14,2,6,1.0,2.0,4.0,3,16203.0,2500.0,6,3000.0,3,20
33,1,0,2,1.0,1.0,0.0,3,7663.0,5693.0,1,2190.0,3,17
33,1,0,2,1.0,1.0,1.0,3,7444.0,5693.0,2,0.0,3,15
45,1,0,3,1.0,1.0,3.0,3,10948.0,3000.0,3,4000.0,3,35
42,14,2,2,1.0,1.0,2.0,3,7554.0,3000.0,1,6000.0,3,22
19,1,0,6,1.0,2.0,5.0,3,14998.0,5000.0,6,0.0,3,16
38,5,0,10,1.0,3.0,4.0,3,35033.0,7000.0,1,1000.0,1,30
43,1,0,2,1.0,1.0,1.0,3,7007.0,4000.0,1,2000.0,2,20
4,14,2,3,1.0,1.0,0.0,3,4926.0,3000.0,1,2600.0,2,36
43,1,0,3,1.0,1.0,2.0,3,8539.0,4000.0,1,2000.0,2,24
42,14,2,2,1.0,1.0,1.0,3,9853.0,4000.0,1,5000.0,2,21
15,14,2,2,1.0,1.0,1.0,3,3284.0,0.0,1,3832.0,2,33
33,14,2,1,1.0,1.0,1.0,3,3284.0,2160.0,1,0.0,3,22
42,7,0,2,1.0,1.0,2.0,3,20034.0,4000.0,1,0.0,3,27
20,14,0,3,1.0,2.0,2.0,3,8977.0,2000.0,1,2500.0,2,34
19,14,2,2,1.0,1.0,1.0,3,1971.0,2000.0,2,0.0,2,27
3,1,0,2,1.0,1.0,1.0,3,9525.0,4000.0,1,1500.0,3,29
51,1,2,1,1.0,1.0,1.0,3,5036.0,2000.0,1,0.0,2,22
51,1,2,1,1.5,1.0,1.0,3,5036.0,2000.0,1,2000.0,2,24
51,1,2,1,1.0,1.0,1.0,3,4817.0,2000.0,1,1500.0,2,26
21,1,2,2,1.0,1.0,1.0,3,5255.0,3832.0,1,1971.0,3,36
18,1,0,2,1.0,1.0,2.0,3,6897.0,5000.0,1,0.0,3,24
28,1,0,4,1.0,1.0,4.0,3,14013.0,3000.0,2,3000.0,1,40
20,14,2,1,2.0,1.0,1.0,3,2299.0,3000.0,1,0.0,3,16
19,1,2,2,1.0,1.0,2.0,3,5802.0,3000.0,1,1500.0,3,16
